example_id,split,scenario_family,language,provisional,gold_status,gold_concerns,reviewer,review_decision,review_notes
train-67e61c8461,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-69a4ba6a1f,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-c7a46b3df0,train,credential_direct,English,True,concern_detected,credential_request,,,
train-ef33277337,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-27ed8fec60,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-5b847f4249,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-a3fa915ec3,train,credential_direct,English,True,concern_detected,credential_request,,,
train-faf57c1586,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-58c64e01aa,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-cd4ce0af71,train,assistance_choice,English,True,no_clear_concern,,,,
train-89ec3e56e3,train,joking_threat,English,True,no_clear_concern,,,,
train-4d662bf7ab,train,credential_direct,English,True,concern_detected,credential_request,,,
train-da31240259,train,joking_threat,English,True,no_clear_concern,,,,
train-abbeef5778,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-0127ce439a,train,joking_threat,English,True,no_clear_concern,,,,
train-8d7a123fbb,train,credential_direct,English,True,concern_detected,credential_request,,,
train-865c48bb87,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-495ccd72bb,train,credential_direct,English,True,concern_detected,credential_request,,,
train-f9befb8e1d,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-bb16d9a53a,train,credential_direct,English,True,concern_detected,credential_request,,,
train-15d84b9ec9,train,reluctance_respected,English,True,no_clear_concern,,,,
train-8cee3b5910,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-b90ac7e1c2,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-4f8973c060,train,credential_self_action,English,True,no_clear_concern,,,,
train-9167db6e23,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-bc37de30a1,train,credential_self_action,English,True,no_clear_concern,,,,
train-8d12e12334,train,availability_limit,English,True,no_clear_concern,,,,
train-68914f719f,train,credential_direct,English,True,concern_detected,credential_request,,,
train-75b6fc648f,train,refusal_respected,English,True,no_clear_concern,,,,
train-b6e108b025,train,ambiguous_code,English,True,insufficient_context,,,,
train-459913d92a,train,credential_self_action,English,True,no_clear_concern,,,,
train-9f10669d9d,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-1d3f4d2b85,train,joking_threat,English,True,no_clear_concern,,,,
train-f45b06c0d8,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-9bd2355bed,train,joking_threat,English,True,no_clear_concern,,,,
train-178633f7bf,train,assistance_choice,English,True,no_clear_concern,,,,
train-c76954ef6c,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-9d637a595c,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-aefc24f7ae,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-267ff8cca6,train,credential_self_action,English,True,no_clear_concern,,,,
train-20b094e304,train,credential_self_action,English,True,no_clear_concern,,,,
train-b425b61ed1,train,availability_limit,English,True,no_clear_concern,,,,
train-624b042f35,train,refusal_respected,English,True,no_clear_concern,,,,
train-b632ad4bed,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-2280cc776d,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-cfee4812d7,train,credential_self_action,English,True,no_clear_concern,,,,
train-a4d69089c8,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-a092da81de,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-92f9ad1974,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-ab3ed9bac5,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-52f912274e,train,ambiguous_payment,English,True,insufficient_context,,,,
train-f9575788dd,train,availability_limit,English,True,no_clear_concern,,,,
train-8a9945d73d,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-338f4700d8,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-3e5346973c,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-6e95d6951b,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-49fe62b771,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-435b4ff02a,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-0a1bd663ed,train,ambiguous_code,English,True,insufficient_context,,,,
train-d219217cf8,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-5ce568048d,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-4b7ef938b9,train,credential_self_action,English,True,no_clear_concern,,,,
train-ded8c38a00,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-f690e56244,train,ambiguous_payment,English,True,insufficient_context,,,,
train-232b393450,train,reluctance_respected,English,True,no_clear_concern,,,,
train-2465a96d02,train,joking_threat,English,True,no_clear_concern,,,,
train-0b8a7cfaa0,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-49eecdc3f2,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-fdfcda6589,train,joking_threat,English,True,no_clear_concern,,,,
train-2941934e19,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-06e8720bf5,train,credential_direct,English,True,concern_detected,credential_request,,,
train-335a59adc0,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-08561b3508,train,credential_self_action,English,True,no_clear_concern,,,,
train-44cb20f276,train,reluctance_respected,English,True,no_clear_concern,,,,
train-807b1c7b8b,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-7ccbf074db,train,refusal_respected,English,True,no_clear_concern,,,,
train-f6200f5ec1,train,assistance_choice,English,True,no_clear_concern,,,,
train-c2cb3a4228,train,assistance_choice,English,True,no_clear_concern,,,,
train-19c454dac8,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-a4d6935fac,train,reluctance_respected,English,True,no_clear_concern,,,,
train-64a3468f62,train,joking_threat,English,True,no_clear_concern,,,,
train-fa2220a470,train,refusal_respected,English,True,no_clear_concern,,,,
train-b78da2eadb,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-8a03e2d923,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-841ab1e18b,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-8cee3822a3,train,ambiguous_payment,English,True,insufficient_context,,,,
train-7b0608f36e,train,availability_limit,English,True,no_clear_concern,,,,
train-50e0d5eca8,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-de5cc8c433,train,credential_direct,English,True,concern_detected,credential_request,,,
train-dd9074d4fe,train,joking_threat,English,True,no_clear_concern,,,,
train-fbfbec4875,train,reluctance_respected,English,True,no_clear_concern,,,,
train-df103081d6,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-dfb089aab1,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-3670d8434c,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-b13791dbc9,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-e4c14ff5bc,train,availability_limit,English,True,no_clear_concern,,,,
train-fcdcb3fc2c,train,ambiguous_payment,English,True,insufficient_context,,,,
train-864f1e4bfb,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-7429a76800,train,joking_threat,English,True,no_clear_concern,,,,
train-2d7ca60691,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-bea67daa37,train,reluctance_respected,English,True,no_clear_concern,,,,
train-809d53a223,train,availability_limit,English,True,no_clear_concern,,,,
train-b7b400825f,train,reluctance_respected,English,True,no_clear_concern,,,,
train-6a634cfd80,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-0f5a4a81e1,train,ambiguous_payment,English,True,insufficient_context,,,,
train-f556aa8a31,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-e26cfaf97c,train,availability_limit,English,True,no_clear_concern,,,,
train-719172b1d1,train,reluctance_respected,English,True,no_clear_concern,,,,
train-f7eaaa3468,train,credential_direct,English,True,concern_detected,credential_request,,,
train-57e3a36084,train,refusal_respected,English,True,no_clear_concern,,,,
train-a89e4030a7,train,refusal_respected,English,True,no_clear_concern,,,,
train-a0bb8c92c2,train,refusal_respected,English,True,no_clear_concern,,,,
train-6a3b3d9360,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-4fb0985c80,train,ambiguous_payment,English,True,insufficient_context,,,,
train-2002b2fa11,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-1ea08aab66,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-57e34b7286,train,ambiguous_payment,English,True,insufficient_context,,,,
train-486ef67a9e,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-f390ffeab2,train,availability_limit,English,True,no_clear_concern,,,,
train-d165ed20b2,train,ambiguous_code,English,True,insufficient_context,,,,
train-11da1d1fc5,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-8ed6a4934c,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-9f4bce3f0e,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-fea41b8730,train,refusal_respected,English,True,no_clear_concern,,,,
train-5a482d5649,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-e041172483,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-46439e6543,train,refusal_respected,English,True,no_clear_concern,,,,
train-70e4fceae2,train,assistance_choice,English,True,no_clear_concern,,,,
train-52b23e0860,train,ambiguous_payment,English,True,insufficient_context,,,,
train-417eaf5372,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-fddd4bf1d2,train,credential_direct,English,True,concern_detected,credential_request,,,
train-993af42d48,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-4da315e4f9,train,credential_direct,English,True,concern_detected,credential_request,,,
train-9e602e819a,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-9b57d5d352,train,ambiguous_payment,English,True,insufficient_context,,,,
train-ee9b3d34e4,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-f48fe7b622,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-1773e574d1,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-fb2563ca9e,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-c3275c0a89,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-200de2c2dc,train,credential_direct,English,True,concern_detected,credential_request,,,
train-9f1074c3e8,train,ambiguous_payment,English,True,insufficient_context,,,,
train-4946c31ffb,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-911396cf48,train,joking_threat,English,True,no_clear_concern,,,,
train-066d7d39a8,train,assistance_choice,English,True,no_clear_concern,,,,
train-f9407b8b3a,train,ambiguous_code,English,True,insufficient_context,,,,
train-111b2d58a9,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-7f4fa1c5b8,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-f515dca0c7,train,ambiguous_payment,English,True,insufficient_context,,,,
train-e7d76edf95,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-995b7db818,train,joking_threat,English,True,no_clear_concern,,,,
train-2a0f6c9477,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-ab74c316ac,train,refusal_respected,English,True,no_clear_concern,,,,
train-53b8850ee7,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-ca4ea76ce9,train,refusal_respected,English,True,no_clear_concern,,,,
train-a503eaeb27,train,credential_direct,English,True,concern_detected,credential_request,,,
train-3ad7ea6b28,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-1e2845b112,train,joking_threat,English,True,no_clear_concern,,,,
train-a2ae575014,train,credential_self_action,English,True,no_clear_concern,,,,
train-f24bc7386e,train,reluctance_respected,English,True,no_clear_concern,,,,
train-af5aa0cbaf,train,refusal_respected,English,True,no_clear_concern,,,,
train-e00f7e3aa7,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-da1cda5256,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-c6f58c5b71,train,credential_direct,English,True,concern_detected,credential_request,,,
train-37808e503e,train,joking_threat,English,True,no_clear_concern,,,,
train-ea7487b08d,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-542ff46775,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-7a440db5cb,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-cf53f4023d,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-a520219c2a,train,joking_threat,English,True,no_clear_concern,,,,
train-088d962d43,train,assistance_choice,English,True,no_clear_concern,,,,
train-fb40a1f80d,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-222789c304,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-e9c4ddeed2,train,availability_limit,English,True,no_clear_concern,,,,
train-717d3a6d36,train,refusal_respected,English,True,no_clear_concern,,,,
train-347c95558d,train,reluctance_respected,English,True,no_clear_concern,,,,
train-4bef47eeb2,train,availability_limit,English,True,no_clear_concern,,,,
train-bcda61f210,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-84f40b098c,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-9eefc59075,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-a91a5f3016,train,ambiguous_payment,English,True,insufficient_context,,,,
train-c3b305cf98,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-ed8f765d31,train,refusal_respected,English,True,no_clear_concern,,,,
train-96724f16d8,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-9c31ef308a,train,reluctance_respected,English,True,no_clear_concern,,,,
train-898055e77e,train,ambiguous_payment,English,True,insufficient_context,,,,
train-981ec50a24,train,availability_limit,English,True,no_clear_concern,,,,
train-323bf1d06e,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-6871db4469,train,ambiguous_payment,English,True,insufficient_context,,,,
train-5e9c00feff,train,credential_direct,English,True,concern_detected,credential_request,,,
train-da9bec917c,train,ambiguous_payment,English,True,insufficient_context,,,,
train-a312a39267,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-99a6e2dc60,train,ambiguous_code,English,True,insufficient_context,,,,
train-3e9d07e859,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-c50cee931e,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-b71ece7a0b,train,ambiguous_payment,English,True,insufficient_context,,,,
train-75a3d530f9,train,assistance_choice,English,True,no_clear_concern,,,,
train-cdbd5ce3ec,train,availability_limit,English,True,no_clear_concern,,,,
train-ac2d2995f6,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-6dd388d3c6,train,joking_threat,English,True,no_clear_concern,,,,
train-0cebbb648d,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-dfce6f2797,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-0b7162d457,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-764783d394,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-ee10f15d85,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-21171c8dd7,train,assistance_choice,English,True,no_clear_concern,,,,
train-f9615991c1,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-fa8773b6c3,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-d185367f9b,train,ambiguous_payment,English,True,insufficient_context,,,,
train-74581c8508,train,reluctance_respected,English,True,no_clear_concern,,,,
train-3e6126e8b5,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-652c60c0c6,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-0154f63da6,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-5e134296cd,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-c1eb22336e,train,refusal_respected,English,True,no_clear_concern,,,,
train-cad0958d41,train,ambiguous_payment,English,True,insufficient_context,,,,
train-92368ea5a0,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-8179371450,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-ed978546ec,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-7e7ef5502f,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-d56d0b71b7,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-7f894e9d1a,train,credential_self_action,English,True,no_clear_concern,,,,
train-b024cb7cc4,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-62d1ca7d18,train,ambiguous_payment,English,True,insufficient_context,,,,
train-342ce4c9b9,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-b3fe12a1f9,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-567d4f8b7a,train,ambiguous_code,English,True,insufficient_context,,,,
train-4641ed0e7f,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-124e0ab12e,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-78b1e26d01,train,refusal_respected,English,True,no_clear_concern,,,,
train-0384bbe0fe,train,assistance_choice,English,True,no_clear_concern,,,,
train-71b7ff3f6e,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-a56d57808f,train,reluctance_respected,English,True,no_clear_concern,,,,
train-2ad7c48941,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-c122491898,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-cec1a5f667,train,ambiguous_code,English,True,insufficient_context,,,,
train-3f65e78820,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-b28fae068f,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-14d415a6dd,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-7695aaf8eb,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-7450e44d67,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-c8c3cc3589,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-bf37a1df25,train,assistance_choice,English,True,no_clear_concern,,,,
train-6d79c24229,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-7752c98e4c,train,ambiguous_payment,English,True,insufficient_context,,,,
train-055e66161e,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-cb898bba9a,train,reluctance_respected,English,True,no_clear_concern,,,,
train-f7388a4fc4,train,assistance_choice,English,True,no_clear_concern,,,,
train-7e3a97042a,train,ambiguous_payment,English,True,insufficient_context,,,,
train-699285292e,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-56280f0f75,train,availability_limit,English,True,no_clear_concern,,,,
train-7c21953275,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-ef1d216b96,train,joking_threat,English,True,no_clear_concern,,,,
train-5e9d42ca63,train,availability_limit,English,True,no_clear_concern,,,,
train-83cbf5f16a,train,refusal_respected,English,True,no_clear_concern,,,,
train-40afee5243,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-1f1938f06c,train,assistance_choice,English,True,no_clear_concern,,,,
train-c9cae56acd,train,ambiguous_code,English,True,insufficient_context,,,,
train-fa21e7a6f4,train,reluctance_respected,English,True,no_clear_concern,,,,
train-168cd5b3bd,train,credential_self_action,English,True,no_clear_concern,,,,
train-d051b3676c,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-a4dd6dd286,train,credential_self_action,English,True,no_clear_concern,,,,
train-e0ff0da5f3,train,assistance_choice,English,True,no_clear_concern,,,,
train-7f8f3c896d,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-e445ae59df,train,refusal_respected,English,True,no_clear_concern,,,,
train-1b056221a6,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-c39861623f,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-927b787fa2,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-4b5c432aef,train,reluctance_respected,English,True,no_clear_concern,,,,
train-9592a6df02,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-d7281813a5,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-5abe0bf707,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-d27e2fdae6,train,credential_impersonation,English,True,concern_detected,credential_request,,,
train-bd3a7cea1a,train,joking_threat,English,True,no_clear_concern,,,,
train-f5ad01b146,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-483a01efbc,train,refusal_meeting,English,True,concern_detected,pressure_after_refusal,,,
train-53a3edef85,train,availability_limit,English,True,no_clear_concern,,,,
train-dafc4a0689,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-c723bab230,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-0cc3f2b914,train,ambiguous_code,English,True,insufficient_context,,,,
train-fef9a0c615,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-8f32eb0c4a,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-184df86037,train,joking_threat,English,True,no_clear_concern,,,,
train-256da29b02,train,joking_threat,English,True,no_clear_concern,,,,
train-675a7a3457,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-b465904e25,train,availability_limit,English,True,no_clear_concern,,,,
train-c63b4d33e3,train,care_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-c42645d3cf,train,assistance_choice,English,True,no_clear_concern,,,,
train-36df7ba186,train,credential_direct,English,True,concern_detected,credential_request,,,
train-d2a35b0cf3,train,credential_quote_benign,English,True,no_clear_concern,,,,
train-7f08a53cb3,train,credential_direct,English,True,concern_detected,credential_request,,,
train-64487fcb3c,train,assistance_choice,English,True,no_clear_concern,,,,
train-5976c6df46,train,transport_threat,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-e755d25afe,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
train-5b1c4e2d27,train,joking_threat,English,True,no_clear_concern,,,,
train-d877cc7a59,train,assistance_choice,English,True,no_clear_concern,,,,
train-563f5903b8,train,credential_direct,English,True,concern_detected,credential_request,,,
train-e38d65413c,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-c71c01324b,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-ab0aba4d14,train,ambiguous_payment,English,True,insufficient_context,,,,
train-e7ec80f3cd,train,refusal_money,English,True,concern_detected,pressure_after_refusal,,,
train-0895b80291,train,credential_self_action,English,True,no_clear_concern,,,,
train-cd351b7cd4,train,ambiguous_code,English,True,insufficient_context,,,,
train-a616d7e14e,train,credential_direct,English,True,concern_detected,credential_request,,,
train-d2611ba07b,train,prompt_injection,English,True,concern_detected,credential_request,,,
train-85edaecdf5,train,secrecy_surprise,English,True,no_clear_concern,,,,
train-57924a9b54,train,secrecy_coercion,English,True,concern_detected,pressure_after_refusal|assistance_related_coercion,,,
